course_code,course_name,credit_hours,department,gen_ed_requirements,description
EPSY 508,Display/Interpretation of Data,4,EPSY,,"Provides instruction in representing and communicating data accurately and clearly using visual displays (e.g., graphs, tables and figures). Examines the most appropriate ways to visually display the results of data analyses so that they are clear, accurate and unambiguous. Drawing on both contemporary techniques and publication standards, it will address topics including audience, context, precision, visual metaphor, data display tools and best practices."
EPSY 510,Counseling Psych/Ethics ProSem,4,EPSY,,"Introduction to and critical examination of applied issues within the discipline of counseling psychology. A review of (a) the historical development of counseling psychology, (b) psychologists' professional code of ethics, and (c) major psychotherapy theories and interventions. Issues of race, class, gender, and diversity more broadly are integrated throughout the course."
EPSY 511,Vocational Psychology Theories and Assessment,2 or 4,EPSY,,"Study of vocational psychology theories, assessment, decision-making, and the job search process; includes an historical overview of the development field. The course links theory with practice, as students engage in the interpretation of vocational assessments, examine relevant ethical standards, and discuss their application. 2 hours credit is for work on either the vocational theories or vocational assessment parts of the course (this must be negotiated). For 4 hours credit, a student must do both aspects. Prerequisite: Admission to the graduate program in counseling psychology or consent of instructor."
EPSY 515,Multicultural Counseling,4,EPSY,,"Overview of multicultural counseling theory, empirical research, and practice; includes didactic as well as experiential learning components. The goal of the course is to enhance students' multicultural counseling competencies, with regard to developing: (a) appropriate knowledge of specific cultural groups and sociopolitical issues, (b) cultural self-awareness, and (c) multiculturally relevant intervention skills. May not be repeated for credit."
EPSY 520,Counseling Psychology Practicum,2 to 8,EPSY,,Intensive supervised experiences in applied educational psychology; use of a wide variety of diagnostic and observational techniques and treatment. Students may take more than one section. Approved for letter and S/U grading. Prerequisite: Master's degree in educational psychology or equivalent; consent of instructor.
EPSY 521,Group Counseling,4,EPSY,,"Study of the principles of group process and their application in institutional and other settings; includes a review of the historical development of group processes and study of pertinent research; discussion and experiential activities are supplemented by films, videotapes, and case studies. Prerequisite: EPSY 510 or consent of instructor."
EPSY 530,Social Development,4,EPSY,,"This seminar is an advanced, doctoral-level survey of social development from infancy to adolescence. The range of topics includes attachment, temperament, genes and developmental process, social contexts of cognitive development gender development, moral reasoning and prosocial behavior, aggressive behavior, and the development of ethnic identity and discrimination. Family, peer, community, and cultural ecologies of children and adolescents receive extensive consideration. Developmental theory, methodology, and relations to social policy and intervention are continuing concerns. Same as PSYC 540 ."
EPSY 535,Capstone: Issues in Professional Preparation,3,EPSY,,"This course is recommended for doctoral students as they are completing their degrees (typically while working on the dissertation) and preparing for postdoctoral or faculty positions. Students will receive guidance on preparing their portfolios for job applications and on anticipating and understanding expectations for their careers. Prerequisite: This course is recommended for doctoral students in their final or penultimate year of graduate study, to prepare them for completing their doctoral studies and applying for positions after degree completion."
EPSY 546,Human Factors in Health Care Engineering Systems,4,EPSY,,Same as IE 546 . See IE 546 .
EPSY 549,Secondary Data Analysis,4,EPSY,,"Prepares graduate students to either analyze secondary data such as large inter/national datasets, or intelligently work with a data analyst to do so. Follows steps of a project in sequence--identifying, choosing, and downloading data; obtaining IRB; creating usable variables by recoding, merging, transforming; applying specialized weighting or other analysis techniques; identifying possible sources of funding for secondary data analysis; and writing techniques for unique issues that arise with secondary data. Prerequisite: EPSY 480 or equivalent. Restricted to graduate students."
EPSY 550,Methods of Educational Inquiry,4,EPSY,,"Same as CI 550 , ERAM 550 , and SPED 550 . See CI 550 ."
EPSY 551,Seminar in Cognitive Science,2 or 4,EPSY,,"Same as PSYC 514 , ANTH 514 , CS 549 , LING 570 , and PHIL 514 . See PSYC 514 ."
EPSY 553,Global Issues in Learning,4,EPSY,,Same as EPOL 523 . See EPOL 523 .
EPSY 554,Virtual Worlds in Education,4,EPSY,,"Examines the history, theory, and practice of pedagogy in virtual environments. Students will read research literature, participate in online discussions through the Moodle course management system, and engage in real-time activities in several types of virtual worlds. The project component requires students to develop educational artifacts in virtual worlds and perform peer review of artifacts developed by other students. Projects will support some aspect of learning or teaching in the students' own workplace, and will incorporate multimedia, web, and other network-based resources. Students are expected to have access to computers that meet the hardware and networking requirements. Same as CI 545 . Prerequisite: Students must be enrolled in the Educational Technology for Teaching, Learning, and Leadership concentration in the Educational Psychology on-line CTER Program."
EPSY 555,Advanced Educational Technologies for Engagement and Interactive Learning,4,EPSY,,"This course examines technologies that seek to promote and sustain engagement in learning, both in formal and informal settings. Topics covered include educational games, artificial intelligence, virtual environments, mobile devices, affective computing, pedagogical agents, narrative learning environments, and more. A highly interdisciplinary approach is taken by blending theory and evidence from psychology and education with discussions of technological advances. Students in the class will be expected to work in teams to design and implement a prototype for a problem of their own choosing. Same as CI 555 and INFO 555 ."
EPSY 556,Analysis of Educational Technologies,4,EPSY,,"This course will analyze currently available technologies for learning. Areas addressed include: learning management systems, intelligent tutors, computer adaptive testing, gamification, simulations, learning in and through social media and peer interaction, universal design for learning, differentiated instruction systems, big data and learning analytics, attention monitoring, and affect-aware systems. Participants will explore the processes for selection and implementation of suitable technologies, the design of electronic learning resources, design and application of digital media in teaching and learning, familiarization with web usually and accessibility, and critical analysis of the benefits of technologies in education."
EPSY 559,Advanced Learning Technologies,4,EPSY,,"In this course participants identify and justify the implementation of advanced learning technologies in the overall environment of learning. They investigate the ways in which advanced technologies influence the design process and how the design process may be enhanced. Areas addressed include: learning management systems, intelligent tutors, computer adaptive testing, gamification, simulations, learning in and through social media and peer interaction, universal design for learning, differentiated instruction systems, big data and learning analytics, attention monitoring, and affect-aware systems. Participants will explore the processes for selection and implementation of suitable technologies, the design of electronic learning resources, design and application of digital media in teaching and learning, familiarization with web usability and accessibility, and critical analysis of the benefits of technologies in education."
EPSY 560,Technology and Educational Change,4,EPSY,,"Today's wave of educational technologies foreshadow what may be a second great education revolution, after the rise of mass-institutional education in the nineteenth century. This has the potential to transform the characteristic communication artifacts of classrooms, teacher lecture, classroom discourse and textbooks. This course explores the possibilities for educational technologies to influence educational change. However, with a critical eye, we also raise the concerns - we can use digital media to prolong the life of old ways of learning, for instance, where the video-lecturing teacher, the monovocal e-textbook or the bullet-pointed PowerPoint presentation transmit facts and concepts. How can we use the affordances of networked digital media to do something different? Can we imagine learning where the knowledge that learners bring to the table is valued, where learners' knowledge repertoires are extended as they actively make new knowledge, and which build collaborative knowledge cultures?."
EPSY 563,Theories in Second Language Acquisition,4,EPSY,,"Same as CI 584 , EALC 584 , FR 584 , GER 584 , ITAL 584 , LING 584 , PORT 584 , and SPAN 584 . See SPAN 584 ."
EPSY 567,Personality Assessment,4,EPSY,,Same as PSYC 567 . See PSYC 567 .
EPSY 570,Advanced Theories of Educational Evaluation,4,EPSY,,"This topical seminar is designed for advanced graduate students with a significant interest in the evaluation of educational and social policies and programs. The seminar will engage in some depth an issue of contemporary currency and controversy in evaluation theory and practice. Readings, discussions, guest speakers, and the occasional field trip will frame the seminar. Each student in this seminar will be expected to develop a scholarly paper for conference presentation and/or publication. Prerequisite: EPSY 470 , EPSY 471 , and coursework in research methods."
EPSY 572,Evaluation of Educational Programs,4,EPSY,,Same as CI 518 . See CI 518 .
EPSY 574,Quasi-Experimental Design,4,EPSY,,"Intermediate course for graduate students in education and related fields. Goal is to prepare students to design and conduct quasi-experimental studies and critique the work of others in an informed, systematic way. Students will read and discuss foundational and contemporary issues in design, validity, sampling and loss, regression artifacts, analysis and causal inferences. Prerequisite: EPSY 580 or equivalent."
EPSY 575,Mixed Method Inquiry,4,EPSY,,"This advanced course addresses the theory and practice of mixing inquiry methodologies in program evaluation and applied research. Topics include selected roots of mixed inquiry, various stances on mixing philosophical traditions while mixing methods, conceptualizations of mixed method design and analysis, and challenges of mixed method practice. Students should have basic familiarity with experimental or survey (quantitative) with and constructivist or interpretivist (qualitative) social science. Familiarity with other social science frameworks (e.g., critical theory, feminism, action science) is also highly desirable. Same as SPED 575 . Approved for Letter and S/U grading. Prerequisite: EPSY 574 or EPSY 580 ; EPSY 577 or EPSY 578 ; or equivalents; or consent of instructor."
EPSY 577,Foundations of Qualitative Methods,4,EPSY,,"Introduction to epistemological, methodological, ethical, and political issues characterizing the broad field of qualitative inquiry. Topics covered include an overview of logical positivism and logical empiricism; the Continental philosophers' critique of scientism and the emergence of hermeneutics; sociological theories of Verstehen; interpretive anthropology; feminist qualitative inquiry; social constructionism; contemporary crises of ethics, representation, and justification."
EPSY 578,Qualitative Inquiry Methods,4,EPSY,,"Introductory course addressing the practice of qualitative inquiry. Topics include developing inquiry questions appropriate for qualitative studies; designing qualitative studies; generating data via interviews, observations, document analyses; analyzing and interpreting qualitative data; judging the quality of inquiry; representing and reporting qualitative inquiry; addressing ethical and political issues in the conduct of qualitative inquiry."
EPSY 579,Structural Equation Modeling,4,EPSY,,Structural Equation Modeling (SEM) is a general class of multivariate techniques that models relationships between latent variables and observed variables (“measurement models”) and relationships among latent variables (“structural models”) simultaneously. Students will learn the theoretical background of SEM as well as the techniques using programming language R. Topics covered in this class include mediation/moderation model; confirmatory factor analysis; model fit evaluation; multi-group SEM; latent growth modeling; MTMM model; and SEM with categorical variables. Prerequisite: EPSY 580 and EPSY 581 ; or Equivalents.
EPSY 580,Statistical Inference in Education,4,EPSY,,"Intermediate statistical methods in education; includes probability theory, distribution theory, interval estimation, hypothesis testing, regression and correlational analysis, and analysis of variance. Prerequisite: EPSY 480 or equivalent."
EPSY 581,Applied Regression Analysis,4,EPSY,,"Emphasis on educational research applications of regression with special emphasis placed on application and interpretation of techniques. Topics covered include rudimentary linear algebra, the general linear model, different coding schemes, regression diagnostics, and extensions to binary data and nested data structures. Same as PSYC 581 . Prerequisite: EPSY 580 or equivalent; consent of instructor."
EPSY 582,Advanced Statistical Methods,4,EPSY,,"Advanced topics in analyses of variance and covariance, and principles of experimental design; brief introduction to multivariate analysis, including rudiments of matrix algebra. Prerequisite: EPSY 580 , PSYC 407, or equivalent."
EPSY 583,Single Case Experimental Design,4,EPSY,,Same as SPED 583 . See SPED 583 .
EPSY 584,Multivar Anlys in Psych and Ed,4,EPSY,,Same as PSYC 594 and SOC 584 . See PSYC 594 .
EPSY 585,Theories of Measurement I,4,EPSY,,"Provides a conceptual framework of classical test theory (e.g., true scores, error of measurement, composite measures) and alternatives to the classical model (e.g., generalizability theory, latent trait theory). Students will learn the techniques and theory of classical test theory and apply the methods to educational and psychological assessments. Topics covered include reliability, validity, generalizability, dichotomous Item Response Theory (IRT), test construction and design, item bias and fairness, Differential Item Functioning (DIF), scaling, linking, and equating. Same as PSYC 595 . Prerequisite: EPSY 581 and EPSY 582 ; PSYC 506 and PSYC 507 ; or equivalents."
EPSY 586,Theories of Measurement II,4,EPSY,,"Provides a conceptual framework of Item Response Theory (IRT) and its applications. Students will learn the techniques and theory of IRT and apply the methods to educational and psychological assessments. Topics covered include both dichotomous and polytomous IRT modelling, item structure and latent traits estimation, modeling and detecting Differential Item Functioning, linking and equating, computer adaptive testing, dimensionality testing, and cognitive diagnosis. Same as PSYC 596 . Prerequisite: EPSY 585 or PSYC 490 ."
EPSY 587,Hierarchical Linear Models,4,EPSY,,"This course provides an overview of the use of multilevel models. Students will learn the techniques and theory of hierarchical linear models and apply the methods to data from studies in education, psychology and social sciences. Topics covered include multilevel analyses, random intercept and slope models, 2- and 3-level models, hypothesis testing, model assessment, longitudinal (repeated measures) data, and generalized hierarchical models for categorical variables. Same as PSYC 587 and STAT 587 . Approved for letter and S/U grading. Prerequisite: EPSY 581 and EPSY 582 , or PSYC 406 and PSYC 407."
EPSY 588,Covar Struct and Factor Models,4,EPSY,,"Same as PSYC 588 , SOC 588 , and STAT 588 . See PSYC 588 ."
EPSY 589,Categorical Data Analysis in Educational Psychology,4,EPSY,,"Concepts and methods for analyzing categorical data with an emphasis placed on building and applying models in education, sociology and psychology. Generalized linear models covered including logistic and Poisson regression models, loglinear, logit, and probit models, and models for ordinal data. Same as PSYC 589 and SOC 579 . Approved for letter and S/U grading. Credit is not given for EPSY 589 and STAT 426 . Prerequisite: EPSY 581 or PSYC 507 ."
EPSY 590,Advanced Seminar in Educational Psychology,0 to 4,EPSY,,"Seminar in educational psychology; topics relate to the areas of specialization represented by the various divisions within the department. Approved for Letter and S/U grading. May be repeated to a maximum of 8 hours in the same or separate semesters, if topics vary. Prerequisite: Consent of instructor required."
EPSY 591,Field Study and Thesis Seminar,4 to 8,EPSY,,"Assists doctoral candidates in planning field studies and thesis problems. Students are expected to present their studies at each of four stages: (1) the inception, delimitation, tentative design stage; (2) the proposed design stage; (3) the revised design stage; and (4) the final design stage. Students are expected to analyze critically all presentations. Prerequisite: Limited to students who have been admitted for doctoral study."
EPSY 595,Independent Study,0 to 4,EPSY,,"Offers opportunity and challenge of self-directive, independent study; develops the individual's ability as an independent student; and enables the student to pursue needed study in a field in which appropriate courses are not being offered during a given term. Approved for both letter and S/U grading. May be repeated with approval. Prerequisite: Approval of study outline by adviser and the department chairperson prior to enrollment."
EPSY 599,Thesis Research,0 to 16,EPSY,,Individual direction of research and thesis writing. Approved for S/U grading only. May be repeated in the same term or in separate terms.
ERAM 510,Uses and Abuses of Educational Research,4,ERAM,,"Aims at comprehensive research literacy by considering educational research in historical, philosophical, policy and political context. Through close reading and quantitative, qualitative, and humanistic studies, the discussion of interdisciplinary perspectives on the research process, students learn to engage intelligently with multiple modes of research and deal critically with policies claiming an evidentiary warrant. Specific topics include: the relationship between research, policy, and practice; the nature of theory and method, argument and evidence in the humanities and social sciences; the tensions between advocacy and research."
ERAM 511,Introductory Qualitative Research Methods,4,ERAM,,"Designed to introduce qualitative methods for educational research, this course focuses on how to align research questions and theoretical explorations with grounded qualitative research. The course covers techniques such as observations, taking field notes, interviewing, and analyzing qualitative data in online and on-site spaces. Readings will cover both applied aspects of conducting qualitative research and how to position such writing in larger bodies of knowledge, taking into account voice, reflexivity, and theoretical frameworks. Prerequisite: ERAM 550 . Restricted to Online EDD: Ed Pol Org &Ldshp students."
ERAM 512,Advanced Qualitative Research Methods,4,ERAM,,"Designed to provide opportunities to advance understanding of qualitative methods for educational research, this course covers methods that include taking field notes and conducting individual interviews and focus group interviews. The course will pay much attention to how to make sense of qualitative data, by coding data in online and offline social spaces. The course further addresses how to communicate research findings aligned with research questions and a chosen conceptual lens. Prerequisite: ERAM 511 . Restricted to EDD: Ed Pol Org &Ldshp students."
ERAM 515,Social Theories and Education,4,ERAM,,"Examines philosophical issues in social and political theory as they pertain to educational problems. The course includes topics such as autonomy, democratic education, educational reform, and social change."
ERAM 520,Researching Race in Education,4,ERAM,,"Focuses on the methods and methodology that education researchers engage to research educational equity as it relates to race, racism and racial equity in education. Drawing on the research methods literature in the social sciences, humanities and education, this course is appropriate for graduate students in education, sociology, anthropology, and others who have an interest in research methods, methodology and educational issues."
ERAM 550,Methods of Educational Inquiry,4,ERAM,,"Same as CI 550 , EPSY 550 , and SPED 550 . See CI 550 ."
ERAM 551,Philosophy and History of Educational Research,4,ERAM,,Addresses the historical context of educational research as well as philosophical issues in the foundations of research.
ERAM 552,The Role of Theory in Educational Research,4,ERAM,,"Examines the theoretical and philosophical foundations of educational research, including questions about the nature of reality, how we acquire knowledge and understanding about the world, and the values that guide research. Implications for research methodology, ethics, and theoretical frameworks will be explored."
ERAM 554,Postcolonial Theory and Methodology,4,ERAM,,"Since the 1990s, scholarship focusing on center-periphery relations has grown considerably. This scholarship is often identified with postcolonial theories of education and society. The purpose of this course is to acquaint students with this body of literature that addresses the way in which post-independent states are currently engaged in massive institutional transformations in light of globalization. Ultimately, we will explore the theoretical and methodological traditions foregrounded in postcolonial research and their implications for educational policy."
ERAM 555,Ethnographic Methods in Education,4,ERAM,,"Focuses on goals, nature, and methodological means of ethnographic research in educational settings broadly defined. Such research aims to describe and, moreover, to understand the ways of living of teachers, students, administrators, parents, and other participants in relevant social spaces. The class will be grounded in the disciplinary perspectives of cultural anthropology, linguistic anthropology, and cultural studies. We will have an ongoing discussion of how one conducts ethnographic research, and all members of the class will conduct their own mini-study."
ERAM 556,Program Evaluation,4,ERAM,,"Examines models and methods of evaluating programs, processes, and products in broadly-defined organizations situated in various operational contexts (eg., education, business, government, NGO). Particular emphasis is given to topics of formative and summative evaluation, frameworks for program evaluation, quantitative and qualitative methods of data collection and analysis, communicating and reporting evaluation findings, and the ethics and standards of evaluation practice. The underlying philosophy of the course is that evaluation can be the catalyst for organizational learning to facilitate intended changes, especially when initiated by those in training and organization development positions."
ERAM 557,Meaning Patterns: Semiotics and the Interpretation of Meanings in Education and the Social Sciences,4,ERAM,,"Addresses the ways in which knowledge is represented, with special reference to the knowledge representations of teachers and learners. Its interdisciplinary bases are functional linguistics, semiotics, philosophy, history of ideas, media/communication studies, and ontology in computer science. The focal point of the course is the five questions about meaning posed by Cope and Kalantzis in their transpositional grammar: ""what is this about?"" (reference); ""who or what is doing this?"" (agency); ""what holds this together?"" (structure); ""how does this fit with its surroundings?"" (context); and ""what is this for?"" (interest). Along these lines of inquiry, a transpositional grammar addresses language, image, embodied action, object and space. ""Transposition"" refers to the movement across these various forms of meaning, intensified in the era of pervasively multimodal, digitally-mediated communications. Applied to education, not only does this provide a valuable heuristic to reframe literacy teaching and learning (the original impulse for the development of this grammar). It also offers an integrated account of meaning-to-learn across all subject areas, including pedagogical content knowledge and learner knowledge representations. Conceived in the broader terms of social-scientific research methods, transpositional grammar is an attempt to overcome the narrowness and logocentrism of ""the language turn"" which dominated social sciences in the twentieth century. In a practical sense, semiotics of the kind explored in this course also provides tools for reading and interpreting multimodal texts and research data."
ERAM 560,Quantitative Policy Analysis,4,ERAM,,Provides a graduate-level introduction to education policy analysis using quantitative methods. Roughly equal amounts of class time will be devoted to 1) understanding conceptual frameworks for conducting policy analysis; 2) understanding on a conceptual level the basics of quantitative methods commonly used in policy analysis; and 3) applying those frameworks and methods to the analysis of actual policies. Students will conduct an analysis of a policy issue of their choosing. Prerequisite: EPSY 580 .
ERAM 565,Quantitative Methods for Education Policy 1,4,ERAM,,"Provides students with the fundamentals of quantitative analysis and research design. Topics include populations & sampling, measurement, foundations of statistics, and assessing correlation vs. causation. Students will complete applied data analysis activities. This is the first in a three-course sequence to develop students' capacity to conduct quantitative analysis. It integrates research methods and data wrangling to provide vertical alignment supporting the development of skills necessary for dissertation research aligned with traditions in education policy. Prerequisite: Restricted to EPOL students, or with approval of instructor and advisor."
ERAM 566,Quantitative Methods for Education Policy 2,4,ERAM,,"Provides the fundamentals of statistical analysis from an applied policy research perspective. Topics include foundations of statistics, multivariate regression, conceptual and mathematical models, and the counterfactual model of causal inference. This is the second in a three-course sequence intended to develop students' capacity to conduct quantitative analysis integrating research methods and data wrangling to provide tight vertical alignment supporting the development of skills necessary for dissertation research aligned with disciplinary traditions in education policy. Prerequisite: ERAM 565 . Restricted to EPOL students, or with approval of instructor and advisor."
ERAM 567,Quantitative Methods for Education Policy 3,4,ERAM,,"Provides the fundamentals of quantitative analysis and research design. Topics include formal frameworks for causal inference, matching methods, the logic of experimental design, and basics of quasi-experimental methods including regression discontinuity and difference-in-differences. This is the third in a three-course sequence integrating quantitative research methods and data wrangling to provide tight vertical alignment supporting the development of skills necessary for dissertation research aligned with disciplinary traditions in education policy. 4 graduate hours. No professional credit. Prerequisite: ERAM 566 . Restricted to EPOL students, or with approval of instructor and advisor."
ERAM 570,Seminar in the History of Education,4,ERAM,,Intensive group study of a small number of selected problems to assist individual students to develop an understanding of and the ability to use the techniques of historical research in furthering such study; problems studied are selected in the light of the interests and previous training of the group of students enrolled. Prerequisite: Two courses in the history of education or consent of instructor.
ERAM 571,Traditions in Philosophy of Education,4,ERAM,,"Analyzes major trends and primary sources in philosophy of education and their historical development, drawing on thinkers representing diverse social positions within the U.S. and globally. Covers movements such as pragmatism, common sense realism, conceptual analysis, phenomenology, feminism, and Marxism/Critical theory."
ERAM 572,Case Studies in Educational Ethics,4,ERAM,,"Focuses on normative case study approaches to investigating ethical issues in K-12 and higher education. Examines ethical decisions faced by educators, administrators, and policymakers as they seek to support the advancement of students, parents, teachers, communities, and democratic society writ large. Particular attention will be given to complex ethical decisions that arise in the pursuit of educational equity and justice."
ERAM 573,Cultural Studies and Critical Interpretation,4,ERAM,,"Explores the history, applications and limitations of various theoretical and methodological approaches to the study of contemporary culture and popular media. Examines debates and issues within cultural studies and with other schools of thought. The impact of cultural studies across the disciplines. Same as MDIA 575 ."
ERAM 574,Education Law,4,ERAM,,"Examines the range of federal and state constitutional and statutory sources that apply to the constituents (pupils, parents, teachers, administrators, and board members) engaged in public schools. Emphasizes development of legal analytical skills."
ERAM 575,Action Research and Educational Leadership,4,ERAM,,"Encourages the development of an inquiry stance by enabling students to design action research projects grounded in authentic practice-based questions. The course examines action research as a vehicle for teacher and administrator growth and instructional reform. Practitioner inquiry is characterized by the careful documentation and systematic analysis of practice over time. In this class, students will ask critical questions about teaching and learning, curriculum, school management, student development, and educational change, while applying various methods of data collection and analysis, in the design of action research projects based within practitioners' school sites. This course introduces students to the foundations, purposes, and practices of action research and practitioner inquiry. Prerequisite: EPOL 550. Advanced doctoral students."
ERAM 576,Discourse Analysis,4,ERAM,,"Students will gain an understanding of major theoretical and methodological approaches to doing discourse analysis in educational research (e.g., through analysis of face-to-face or online classroom talk and interaction, or published policy documents). Course assignments will provide students with opportunities to develop and apply tools for conducting research using discourse analytic methods. Prerequisite: Successful completion of a minimum of one graduate-level introductory qualitative research methods course."
ERAM 581,Evaluation with Applied Survey Design I,4,ERAM,,"The initial course in a three-part course sequence that introduces the theories, methods, and applications of surveys for educational and social programs through student projects. The survey is an essential tool for researchers in the social sciences and in many applied professional fields, such as education, public health, and marketing. In the context of student projects, we will examine the major planning tasks necessary for conducting surveys, including problem formulation, study design, questionnaire and interview design, pretesting, sampling, interviewer training and field management, and code development. We will focus throughout on issues of design, refinement, and ethics in research that crosses boundaries of nationality, class, gender, language, and ethnicity."
ERAM 582,Evaluation with Applied Survey Design II,4,ERAM,,"Further explores the theories, methods, and applications of surveys for educational and social programs through student projects. The survey is an essential tool for researchers in the social sciences and in many applied professional fields, such as education, public health, and marketing. This course focuses on data collection, interviews, training manuals and planning for field work, instrument pilots, and coding and data management. Prerequisite: Successful completion of ERAM 581 and/or related experience with an original survey dataset."
ERAM 583,Evaluation with Applied Survey Design III,4,ERAM,,"Intended for students who have completed ERAM 581 & ERAM 582 , and/or have completed independent data collection using survey instruments. Previous knowledge of survey data collection methods and an original data set is a prerequisite for taking this course. This module will focus on applied data processing and analysis including data editing, imputation, weighting, and considerations for reporting data from complex sample surveys. Emphasis will be on the practical application of data analysis procedures in Stata, a statistical software application with the capability to account for survey design, to applied research problems. This online course will be open to both on-campus and online students. This course will make use of the STATA statistical platform which can either be purchased individually or used freely in campus computer labs, where available. Prerequisite: Successful completion of ERAM 581 and ERAM 582 and/or related experience with an original survey dataset."
ESE 100,Sustainable Earth,3,ESE,Nat Sci & Tech - Phys Sciences,"Provides an introduction to sustainability that explores how today's human societies can endure in the face of global change, ecosystem degradation, and limited resources. Emphasizes the fundamentals of the physical sciences and the scientific method while also exploring the special impact of sustainability challenges on minority cultures in the U.S. Prerequisite: This course is intended for first and second year students."
ESE 103,Earth's Physical Systems,4,ESE,Nat Sci & Tech - Phys Sciences,Same as GGIS 103 . See GGIS 103 .
ESE 104,Geology of the National Parks,3,ESE,Nat Sci & Tech - Phys Sciences,Same as GEOL 104 . See GEOL 104 .
ESE 106,Geographies of Globalization,3,ESE,Cultural Studies - Non-West; Social & Beh Sci - Soc Sci,Same as GGIS 106 . See GGIS 106 .
ESE 111,Emergence of Life,3,ESE,Nat Sci & Tech - Life Sciences,Same as GEOL 111 . See GEOL 111 .
ESE 117,The Oceans,3,ESE,Nat Sci & Tech - Phys Sciences,Same as GEOL 117 . See GEOL 117 .
ESE 118,Natural Disasters,3,ESE,Nat Sci & Tech - Phys Sciences,Same as GEOL 118 and GLBL 118 . See GEOL 118 .
ESE 120,Severe and Hazardous Weather,3,ESE,Nat Sci & Tech - Phys Sciences; Quantitative Reasoning II,Same as ATMS 120 . See ATMS 120 .
ESE 140,Climate and Global Change,3,ESE,Nat Sci & Tech - Phys Sciences,Same as ATMS 140 . See ATMS 140 .
ESE 143,History of Life,3,ESE,Nat Sci & Tech - Life Sciences,Same as GEOL 143 . See GEOL 143 .
ESE 170,Nature Religion,3,ESE,,Same as REL 170 . See REL 170 .
ESE 199,Undergraduate Open Seminar,1 to 5,ESE,,"Special topics in Earth, Society, and the Environment; content is variable. May be repeated if topics vary."
ESE 200,Earth Systems,3,ESE,,"Interdisciplinary lecture class intended to introduce Earth Systems studies, which focuses on integrating social and natural science approaches to studying the Earth and its environments."
ESE 202,American Environmental History,3,ESE,Humanities - Hist & Phil; Cultural Studies - Western,Same as HIST 202 and NRES 202 . See HIST 202 .
ESE 208,History of the Earth System,4,ESE,Nat Sci & Tech - Phys Sciences,Same as GEOL 208 . See GEOL 208 .
ESE 210,Social & Environmental Issues,3,ESE,Social & Beh Sci - Soc Sci,Same as GGIS 210 . See GGIS 210 .
ESE 222,Big Rivers of the World,3,ESE,,Same as GGIS 222 . See GGIS 222 .
ESE 254,"People, Places, and Environments of the US",3,ESE,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,Same as GGIS 254 . See GGIS 254 .
ESE 287,Environment and Society,3,ESE,Social & Beh Sci - Soc Sci; Cultural Studies - Western,"Same as GGIS 287 , NRES 287 and PS 273 . See NRES 287 ."
ESE 289,Environment & Sustainability Field Study,1,ESE,,"Group expedition to study environment and sustainability issues at a nearby field site. Includes in-class meetings, student-led presentation, and a field trip that may be short as part of a day or as long as several days. Field trip and field trip fee required. Additional fees may apply. See Class Schedule. Approved for letter and S/U grading. May be repeated in separate terms if topics vary. Prerequisite: For ESE majors, minors, and Sustainability Living Learning Community students. Non majors can apply to the waitlist."
ESE 293,The Anthropocene,3,ESE,,Same as ENGL 293 . See ENGL 293 .
ESE 311,Environmental Issues Today,3,ESE,,"Seminar exposing students to different disciplinary perspectives on specific environmental issues, as revealed in the scholarly literature. Specific problems will vary from term to term. This seminar helps students make the transition from disciplinary to interdisciplinary thinking."
ESE 320,"Water Planet, Water Crisis",3,ESE,,"Study of the science of water on planet earth, the developing water crisis, and some possible solutions to it. Topics include water's unique physical and chemical properties; how it profoundly shapes the earth/ocean/atmosphere system; dynamics of oceans, atmosphere, lakes, rivers, groundwater, and ice masses; current fresh water supplies and their distribution on earth relative to population; current and future water crises and the compounding effects of droughts, floods, and global change; and prospects for some technological and economic approaches to easing the crisis. Same as GEOL 370 and GGIS 370 ."
ESE 333,Earth Materials and the Env,4,ESE,,Same as GEOL 333 . See GEOL 333 .
ESE 350,Sustainability and the City,3,ESE,,Same as GGIS 350 . See GGIS 350 .
ESE 360,Environmental Writing,3,ESE,Advanced Composition,"Equips students to write about the environment for various audiences, with a focus on specific current efforts to promote sustainability on the Urbana-Champaign campus. We will practice effective techniques for each stage of the writing process-from defining topics, to gathering information, to crafting active, engaging prose. Readings will include models of effective environmental writing and ""how to"" pieces by experts. Research will include visits to campus sites and student-conducted interviews with subjects. Same as ENGL 360 . Prerequisite: Completion of campus Composition I general education requirement."
ESE 379,Introduction to Geographic Information Systems,4,ESE,,Same as GGIS 379 . See GGIS 379 .
ESE 380,Geographic Information Systems II,4,ESE,Quantitative Reasoning II,Same as GGIS 380 . See GGIS 380 .
ESE 389,Environment and Sustainability Field Expedition,3,ESE,,"Group expedition to study environment and sustainability issues at a field site. Includes in-class meetings, student-led presentation, and field trip; expeditions run during spring break, winter break, in mid-May or in intercession; dates depend on location. Field Trip and field trip fee required. Additional fees may apply. See Class Schedule. May be repeated up to 12 hours in separate terms if topics vary."
ESE 401,ESE Capstone,3,ESE,,"Capstone experience for majors in Earth, Society, and Environment Sustainability. 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. May be repeated once."
ESE 410,Green Development,4,ESE,,Same as GGIS 410 . See GGIS 410 .
